a,b,c,t
1,21,21,8.698206096168466
1,21,26,8.634054377445405
1,21,31,8.583789501877778
1,21,36,8.542752484275885
1,21,41,8.508252173224886
1,21,46,8.478603008058899
1,21,51,8.452684098913258
1,21,56,8.42971482251024
1,21,61,8.409131181084996
1,21,66,8.390513301814023
1,21,71,8.37354073182627
1,21,76,8.357963704492745
1,21,81,8.343584015989029
1,21,86,8.330241914045027
1,21,91,8.31780687526886
1,21,96,8.306170971095918
1,26,1,10.833949715206057
1,26,6,9.801706984046115
1,26,11,9.557201701259066
1,26,16,9.42602526984961
1,26,21,9.338928397062642
1,26,26,9.274776678339583
1,26,31,9.224511802771955
1,26,36,9.18347478517006
1,26,41,9.148974474119063
1,26,46,9.119325308953076
1,26,51,9.093406399807435
1,26,56,9.070437123404417
1,26,61,9.049853481979174
1,26,66,9.031235602708199
1,26,71,9.014263032720446
1,26,76,8.998686005386922
1,26,81,8.984306316883206
1,26,86,8.970964214939205
1,26,91,8.958529176163037
1,26,96,8.946893271990096
1,31,1,11.361621714597048
1,31,6,10.329378983437108
1,31,11,10.084873700650059
1,31,16,9.953697269240603
1,31,21,9.866600396453634
1,31,26,9.802448677730576
1,31,31,9.752183802162948
1,31,36,9.711146784561054
1,31,41,9.676646473510056
1,31,46,9.64699730834407
1,31,51,9.621078399198428
1,31,56,9.59810912279541
1,31,61,9.577525481370166
1,31,66,9.558907602099191
1,31,71,9.54193503211144
1,31,76,9.526358004777915
1,31,81,9.511978316274199
1,31,86,9.498636214330197
1,31,91,9.48620117555403
1,31,96,9.474565271381088
1,36,1,11.81021691650994
1,36,6,10.777974185349999
1,36,11,10.53346890256295
1,36,16,10.402292471153494
1,36,21,10.315195598366525
1,36,26,10.251043879643467
1,36,31,10.200779004075839
1,36,36,10.159741986473946
1,36,41,10.125241675422947
1,36,46,10.09559251025696
1,36,51,10.069673601111319
1,36,56,10.046704324708301
1,36,61,10.026120683283057
1,36,66,10.007502804012082
1,36,71,9.99053023402433
1,36,76,9.974953206690806
1,36,81,9.96057351818709
1,36,86,9.947231416243088
1,36,91,9.93479637746692
1,36,96,9.92316047329398
1,41,1,12.200376301254533
1,41,6,11.168133570094593
1,41,11,10.923628287307542
1,41,16,10.792451855898088
1,41,21,10.70535498311112
1,41,26,10.64120326438806
1,41,31,10.590938388820433
1,41,36,10.549901371218539
1,41,41,10.515401060167541
1,41,46,10.485751895001554
1,41,51,10.459832985855913
1,41,56,10.436863709452895
1,41,61,10.416280068027651
1,41,66,10.397662188756676
1,41,71,10.380689618768924
1,41,76,10.3651125914354
1,41,81,10.350732902931684
1,41,86,10.33739080098768
1,41,91,10.324955762211513
1,41,96,10.313319858038573
1,46,1,12.545584290608895
1,46,6,11.513341559448953
1,46,11,11.268836276661904
1,46,16,11.13765984525245
1,46,21,11.050562972465482
1,46,26,10.986411253742421
1,46,31,10.936146378174794
1,46,36,10.895109360572901
1,46,41,10.860609049521901
1,46,46,10.830959884355915
1,46,51,10.805040975210275
1,46,56,10.782071698807256
1,46,61,10.761488057382012
1,46,66,10.742870178111039
1,46,71,10.725897608123285
1,46,76,10.710320580789762
1,46,81,10.695940892286044
1,46,86,10.682598790342043
1,46,91,10.670163751565875
1,46,96,10.658527847392934
1,51,1,12.855136999314587
1,51,6,11.822894268154647
1,51,11,11.578388985367596
1,51,16,11.447212553958142
1,51,21,11.360115681171173
1,51,26,11.295963962448115
1,51,31,11.245699086880487
1,51,36,11.204662069278593
1,51,41,11.170161758227595
1,51,46,11.140512593061608
1,51,51,11.114593683915967
1,51,56,11.091624407512949
1,51,61,11.071040766087705
1,51,66,11.05242288681673
1,51,71,11.035450316828978
1,51,76,11.019873289495454
1,51,81,11.005493600991738
1,51,86,10.992151499047736
1,51,91,10.979716460271568
1,51,96,10.968080556098627
1,56,1,13.135715173347057
1,56,6,12.103472442187117
1,56,11,11.858967159400066
1,56,16,11.727790727990612
1,56,21,11.640693855203644
1,56,26,11.576542136480585
1,56,31,11.526277260912957
1,56,36,11.485240243311063
1,56,41,11.450739932260065
1,56,46,11.421090767094078
1,56,51,11.395171857948437
1,56,56,11.37220258154542
1,56,61,11.351618940120176
1,56,66,11.3330010608492
1,56,71,11.316028490861449
1,56,76,11.300451463527924
1,56,81,11.286071775024208
1,56,86,11.272729673080205
1,56,91,11.260294634304037
1,56,96,11.248658730131098
1,61,1,13.392281693661543
1,61,6,12.360038962501603
1,61,11,12.115533679714552
1,61,16,11.984357248305098
1,61,21,11.89726037551813
1,61,26,11.833108656795071
1,61,31,11.782843781227443
1,61,36,11.741806763625549
1,61,41,11.707306452574551
1,61,46,11.677657287408564
1,61,51,11.651738378262923
1,61,56,11.628769101859906
1,61,61,11.608185460434662
1,61,66,11.589567581163687
1,61,71,11.572595011175935
1,61,76,11.55701798384241
1,61,81,11.542638295338694
1,61,86,11.529296193394693
1,61,91,11.516861154618523
1,61,96,11.505225250445584
1,66,1,13.628624327220887
1,66,6,12.596381596060946
1,66,11,12.351876313273896
1,66,16,12.22069988186444
1,66,21,12.133603009077472
1,66,26,12.069451290354413
1,66,31,12.019186414786786
1,66,36,11.978149397184893
1,66,41,11.943649086133894
1,66,46,11.913999920967907
1,66,51,11.888081011822266
1,66,56,11.865111735419248
1,66,61,11.844528093994004
1,66,66,11.825910214723029
1,66,71,11.808937644735277
1,66,76,11.793360617401753
1,66,81,11.778980928898036
1,66,86,11.765638826954035
1,66,91,11.753203788177867
1,66,96,11.741567884004926
1,71,1,13.847699732265555
1,71,6,12.815457001105615
1,71,11,12.570951718318566
1,71,16,12.43977528690911
1,71,21,12.352678414122142
1,71,26,12.288526695399083
1,71,31,12.238261819831456
1,71,36,12.197224802229561
1,71,41,12.162724491178563
1,71,46,12.133075326012577
1,71,51,12.107156416866935
1,71,56,12.084187140463918
1,71,61,12.063603499038674
1,71,66,12.044985619767699
1,71,71,12.028013049779947
1,71,76,12.012436022446423
1,71,81,11.998056333942706
1,71,86,11.984714231998705
1,71,91,11.972279193222537
1,71,96,11.960643289049596
1,76,1,14.051860122000603
1,76,6,13.019617390840661
1,76,11,12.775112108053612
1,76,16,12.643935676644158
1,76,21,12.55683880385719
1,76,26,12.49268708513413
1,76,31,12.442422209566503
1,76,36,12.401385191964609
1,76,41,12.36688488091361
1,76,46,12.337235715747623
1,76,51,12.311316806601983
1,76,56,12.288347530198964
1,76,61,12.26776388877372
1,76,66,12.249146009502747
1,76,71,12.232173439514993
1,76,76,12.21659641218147
1,76,81,12.202216723677754
1,76,86,12.188874621733751
1,76,91,12.176439582957583
1,76,96,12.164803678784642
1,81,1,14.243007565158926
1,81,6,13.210764833998985
1,81,11,12.966259551211936
1,81,16,12.835083119802482
1,81,21,12.747986247015513
1,81,26,12.683834528292453
1,81,31,12.633569652724825
1,81,36,12.592532635122932
1,81,41,12.558032324071933
1,81,46,12.528383158905946
1,81,51,12.502464249760306
1,81,56,12.479494973357287
1,81,61,12.458911331932043
1,81,66,12.44029345266107
1,81,71,12.423320882673316
1,81,76,12.407743855339794
1,81,81,12.393364166836076
1,81,86,12.380022064892074
1,81,91,12.367587026115906
1,81,96,12.355951121942965
1,86,1,14.422701989902134
1,86,6,13.390459258742192
1,86,11,13.145953975955143
1,86,16,13.014777544545687
1,86,21,12.927680671758718
1,86,26,12.86352895303566
1,86,31,12.813264077468032
1,86,36,12.77222705986614
1,86,41,12.73772674881514
1,86,46,12.708077583649153
1,86,51,12.682158674503512
1,86,56,12.659189398100494
1,86,61,12.63860575667525
1,86,66,12.619987877404276
1,86,71,12.603015307416523
1,86,76,12.587438280083
1,86,81,12.573058591579283
1,86,86,12.559716489635282
1,86,91,12.547281450859114
1,86,96,12.535645546686172
1,91,1,14.592238620692159
1,91,6,13.55999588953222
1,91,11,13.31549060674517
1,91,16,13.184314175335714
1,91,21,13.097217302548746
1,91,26,13.033065583825687
1,91,31,12.98280070825806
1,91,36,12.941763690656165
1,91,41,12.907263379605167
1,91,46,12.87761421443918
1,91,51,12.85169530529354
1,91,56,12.828726028890522
1,91,61,12.808142387465278
1,91,66,12.789524508194303
1,91,71,12.77255193820655
1,91,76,12.756974910873026
1,91,81,12.74259522236931
1,91,86,12.729253120425309
1,91,91,12.71681808164914
1,91,96,12.7051821774762
1,96,1,14.752704675545118
1,96,6,13.720461944385178
1,96,11,13.475956661598127
1,96,16,13.344780230188674
1,96,21,13.257683357401705
1,96,26,13.193531638678646
1,96,31,13.143266763111018
1,96,36,13.102229745509124
1,96,41,13.067729434458126
1,96,46,13.03808026929214
1,96,51,13.012161360146498
1,96,56,12.98919208374348
1,96,61,12.968608442318237
1,96,66,12.949990563047262
1,96,71,12.93301799305951
1,96,76,12.917440965725985
1,96,81,12.90306127722227
1,96,86,12.889719175278266
1,96,91,12.877284136502098
1,96,96,12.865648232329159
6,1,1,1.955539835755637
6,1,6,0.9232971045956964
6,1,11,0.6787918218086467
6,1,16,0.5476153903991922
6,1,21,0.4605185176122235
6,1,26,0.3963667988891641
6,1,31,0.34610192332153666
6,1,36,0.305064905719643
6,1,41,0.27056459466864435
6,1,46,0.24091542950265768
6,1,51,0.21499652035701708
6,1,56,0.19202724395399873
6,1,61,0.1714436025287547
6,1,66,0.15282572325778065
6,1,71,0.13585315327002762
6,1,76,0.12027612593650418
6,1,81,0.10589643743278757
6,1,86,0.09255433548878558
6,1,91,0.08011929671261736
6,1,96,0.06848339253967657
6,6,1,7.330818243439802
6,6,6,6.298575512279862
6,6,11,6.054070229492812
6,6,16,5.922893798083357
6,6,21,5.835796925296388
6,6,26,5.771645206573329
6,6,31,5.721380331005702
6,6,36,5.680343313403808
6,6,41,5.64584300235281
6,6,46,5.616193837186823
6,6,51,5.590274928041182
6,6,56,5.567305651638164
6,6,61,5.546722010212919
6,6,66,5.528104130941945
6,6,71,5.511131560954192
6,6,76,5.495554533620669
6,6,81,5.481174845116953
6,6,86,5.46783274317295
6,6,91,5.455397704396782
6,6,96,5.443761800223841
6,11,1,9.149225654150749
6,11,6,8.116982922990807
6,11,11,7.872477640203758
6,11,16,7.741301208794304
6,11,21,7.654204336007335
6,11,26,7.590052617284275
6,11,31,7.539787741716649
6,11,36,7.498750724114755
6,11,41,7.464250413063756
6,11,46,7.434601247897769
6,11,51,7.408682338752128
6,11,56,7.385713062349111
6,11,61,7.365129420923866
6,11,66,7.346511541652892
6,11,71,7.329538971665139
6,11,76,7.3139619443316155
6,11,81,7.299582255827899
6,11,86,7.286240153883897
6,11,91,7.273805115107729
6,11,96,7.262169210934788
6,16,1,10.27330600247498
6,16,6,9.24106327131504
6,16,11,8.996557988527991
6,16,16,8.865381557118535
6,16,21,8.778284684331567
6,16,26,8.714132965608508
6,16,31,8.66386809004088
6,16,36,8.622831072438986
6,16,41,8.588330761387988
6,16,46,8.558681596222002
6,16,51,8.53276268707636
6,16,56,8.509793410673343
6,16,61,8.489209769248099
6,16,66,8.470591889977124
6,16,71,8.453619319989372
6,16,76,8.438042292655847
6,16,81,8.423662604152131
6,16,86,8.41032050220813
6,16,91,8.397885463431962
6,16,96,8.38624955925902
6,21,1,11.089107148925907
6,21,6,10.056864417765965
6,21,11,9.812359134978916
6,21,16,9.68118270356946
6,21,21,9.594085830782493
6,21,26,9.529934112059433
6,21,31,9.479669236491805
6,21,36,9.438632218889913
6,21,41,9.404131907838913
6,21,46,9.374482742672926
6,21,51,9.348563833527287
6,21,56,9.325594557124267
6,21,61,9.305010915699023
6,21,66,9.28639303642805
6,21,71,9.269420466440296
6,21,76,9.253843439106774
6,21,81,9.239463750603056
6,21,86,9.226121648659054
6,21,91,9.213686609882886
6,21,96,9.202050705709945
6,26,1,11.729829449820084
6,26,6,10.697586718660142
6,26,11,10.453081435873093
6,26,16,10.321905004463638
6,26,21,10.23480813167667
6,26,26,10.17065641295361
6,26,31,10.120391537385983
6,26,36,10.07935451978409
6,26,41,10.04485420873309
6,26,46,10.015205043567104
6,26,51,9.989286134421462
6,26,56,9.966316858018445
6,26,61,9.9457332165932
6,26,66,9.927115337322226
6,26,71,9.910142767334474
6,26,76,9.894565740000951
6,26,81,9.880186051497233
6,26,86,9.866843949553232
6,26,91,9.854408910777064
6,26,96,9.842773006604123
6,31,1,12.257501449211075
6,31,6,11.225258718051135
6,31,11,10.980753435264086
6,31,16,10.84957700385463
6,31,21,10.762480131067662
6,31,26,10.698328412344603
6,31,31,10.648063536776975
6,31,36,10.607026519175083
6,31,41,10.572526208124083
6,31,46,10.542877042958096
6,31,51,10.516958133812455
6,31,56,10.493988857409438
6,31,61,10.473405215984194
6,31,66,10.454787336713219
6,31,71,10.437814766725467
6,31,76,10.422237739391942
6,31,81,10.407858050888226
6,31,86,10.394515948944225
6,31,91,10.382080910168057
6,31,96,10.370445005995116
6,36,1,12.706096651123968
6,36,6,11.673853919964026
6,36,11,11.429348637176977
6,36,16,11.298172205767521
6,36,21,11.211075332980553
6,36,26,11.146923614257494
6,36,31,11.096658738689866
6,36,36,11.055621721087974
6,36,41,11.021121410036974
6,36,46,10.991472244870987
6,36,51,10.965553335725346
6,36,56,10.942584059322328
6,36,61,10.922000417897085
6,36,66,10.90338253862611
6,36,71,10.886409968638358
6,36,76,10.870832941304833
6,36,81,10.856453252801117
6,36,86,10.843111150857116
6,36,91,10.830676112080948
6,36,96,10.819040207908007
6,41,1,13.09625603586856
6,41,6,12.06401330470862
6,41,11,11.819508021921571
6,41,16,11.688331590512115
6,41,21,11.601234717725147
6,41,26,11.537082999002088
6,41,31,11.48681812343446
6,41,36,11.445781105832566
6,41,41,11.411280794781568
6,41,46,11.381631629615582
6,41,51,11.35571272046994
6,41,56,11.332743444066923
6,41,61,11.312159802641679
6,41,66,11.293541923370704
6,41,71,11.276569353382952
6,41,76,11.260992326049427
6,41,81,11.246612637545711
6,41,86,11.23327053560171
6,41,91,11.22083549682554
6,41,96,11.2091995926526
6,46,1,13.441464025222922
6,46,6,12.40922129406298
6,46,11,12.164716011275932
6,46,16,12.033539579866478
6,46,21,11.946442707079509
6,46,26,11.882290988356448
6,46,31,11.83202611278882
6,46,36,11.790989095186928
6,46,41,11.756488784135929
6,46,46,11.726839618969942
6,46,51,11.700920709824302
6,46,56,11.677951433421283
6,46,61,11.65736779199604
6,46,66,11.638749912725066
6,46,71,11.621777342737312
6,46,76,11.60620031540379
6,46,81,11.591820626900073
6,46,86,11.57847852495607
6,46,91,11.566043486179902
6,46,96,11.554407582006961
6,51,1,13.751016733928614
6,51,6,12.718774002768674
6,51,11,12.474268719981625
6,51,16,12.34309228857217
6,51,21,12.2559954157852
6,51,26,12.191843697062142
6,51,31,12.141578821494514
6,51,36,12.10054180389262
6,51,41,12.066041492841622
6,51,46,12.036392327675635
6,51,51,12.010473418529994
6,51,56,11.987504142126976
6,51,61,11.966920500701733
6,51,66,11.948302621430757
6,51,71,11.931330051443005
6,51,76,11.915753024109481
6,51,81,11.901373335605765
6,51,86,11.888031233661764
6,51,91,11.875596194885595
6,51,96,11.863960290712654
6,56,1,14.031594907961084
6,56,6,12.999352176801144
6,56,11,12.754846894014095
6,56,16,12.62367046260464
6,56,21,12.536573589817671
6,56,26,12.472421871094612
6,56,31,12.422156995526985
6,56,36,12.38111997792509
6,56,41,12.346619666874092
6,56,46,12.316970501708106
6,56,51,12.291051592562464
6,56,56,12.268082316159447
6,56,61,12.247498674734203
6,56,66,12.228880795463228
6,56,71,12.211908225475476
6,56,76,12.196331198141952
6,56,81,12.181951509638235
6,56,86,12.168609407694234
6,56,91,12.156174368918064
6,56,96,12.144538464745125
6,61,1,14.28816142827557
6,61,6,13.25591869711563
6,61,11,13.011413414328581
6,61,16,12.880236982919126
6,61,21,12.793140110132157
6,61,26,12.728988391409098
6,61,31,12.67872351584147
6,61,36,12.637686498239576
6,61,41,12.603186187188578
6,61,46,12.573537022022592
6,61,51,12.54761811287695
6,61,56,12.524648836473933
6,61,61,12.504065195048689
6,61,66,12.485447315777714
6,61,71,12.468474745789962
6,61,76,12.452897718456438
6,61,81,12.438518029952721
6,61,86,12.42517592800872
6,61,91,12.412740889232552
6,61,96,12.401104985059611
6,66,1,14.524504061834914
6,66,6,13.492261330674973
6,66,11,13.247756047887924
6,66,16,13.116579616478468
6,66,21,13.0294827436915
6,66,26,12.96533102496844
6,66,31,12.915066149400813
6,66,36,12.87402913179892
6,66,41,12.83952882074792
6,66,46,12.809879655581934
6,66,51,12.783960746436293
6,66,56,12.760991470033275
6,66,61,12.740407828608031
6,66,66,12.721789949337056
6,66,71,12.704817379349304
6,66,76,12.68924035201578
6,66,81,12.674860663512064
6,66,86,12.661518561568062
6,66,91,12.649083522791894
6,66,96,12.637447618618953
6,71,1,14.743579466879583
6,71,6,13.711336735719643
6,71,11,13.466831452932594
6,71,16,13.335655021523138
6,71,21,13.24855814873617
6,71,26,13.18440643001311
6,71,31,13.134141554445483
6,71,36,13.093104536843589
6,71,41,13.05860422579259
6,71,46,13.028955060626604
6,71,51,13.003036151480963
6,71,56,12.980066875077945
6,71,61,12.959483233652701
6,71,66,12.940865354381726
6,71,71,12.923892784393974
6,71,76,12.90831575706045
6,71,81,12.893936068556734
6,71,86,12.880593966612732
6,71,91,12.868158927836564
6,71,96,12.856523023663623
6,76,1,14.94773985661463
6,76,6,13.91549712545469
6,76,11,13.67099184266764
6,76,16,13.539815411258186
6,76,21,13.452718538471217
6,76,26,13.388566819748156
6,76,31,13.33830194418053
6,76,36,13.297264926578636
6,76,41,13.262764615527638
6,76,46,13.23311545036165
6,76,51,13.20719654121601
6,76,56,13.184227264812993
6,76,61,13.163643623387747
6,76,66,13.145025744116774
6,76,71,13.12805317412902
6,76,76,13.112476146795498
6,76,81,13.098096458291781
6,76,86,13.084754356347778
6,76,91,13.07231931757161
6,76,96,13.06068341339867
6,81,1,15.138887299772954
6,81,6,14.106644568613012
6,81,11,13.862139285825963
6,81,16,13.730962854416509
6,81,21,13.64386598162954
6,81,26,13.57971426290648
6,81,31,13.529449387338852
6,81,36,13.48841236973696
6,81,41,13.45391205868596
6,81,46,13.424262893519973
6,81,51,13.398343984374334
6,81,56,13.375374707971314
6,81,61,13.35479106654607
6,81,66,13.336173187275097
6,81,71,13.319200617287343
6,81,76,13.30362358995382
6,81,81,13.289243901450103
6,81,86,13.275901799506101
6,81,91,13.263466760729933
6,81,96,13.251830856556992
6,86,1,15.31858172451616
6,86,6,14.28633899335622
6,86,11,14.04183371056917
6,86,16,13.910657279159715
6,86,21,13.823560406372748
6,86,26,13.759408687649687
6,86,31,13.70914381208206
6,86,36,13.668106794480167
6,86,41,13.633606483429167
6,86,46,13.60395731826318
6,86,51,13.578038409117541
6,86,56,13.555069132714522
6,86,61,13.534485491289278
6,86,66,13.515867612018305
6,86,71,13.49889504203055
6,86,76,13.483318014697028
6,86,81,13.46893832619331
6,86,86,13.455596224249309
6,86,91,13.44316118547314
6,86,96,13.4315252813002
6,91,1,15.488118355306188
6,91,6,14.455875624146246
6,91,11,14.211370341359197
6,91,16,14.080193909949742
6,91,21,13.993097037162773
6,91,26,13.928945318439714
6,91,31,13.878680442872087
6,91,36,13.837643425270192
6,91,41,13.803143114219194
6,91,46,13.773493949053208
6,91,51,13.747575039907566
6,91,56,13.724605763504549
6,91,61,13.704022122079305
6,91,66,13.68540424280833
6,91,71,13.668431672820578
6,91,76,13.652854645487054
6,91,81,13.638474956983337
6,91,86,13.625132855039336
6,91,91,13.612697816263168
6,91,96,13.601061912090227
6,96,1,15.648584410159145
6,96,6,14.616341678999206
6,96,11,14.371836396212155
6,96,16,14.2406599648027
6,96,21,14.153563092015732
6,96,26,14.089411373292673
6,96,31,14.039146497725046
6,96,36,13.998109480123151
6,96,41,13.963609169072154
6,96,46,13.933960003906167
6,96,51,13.908041094760526
6,96,56,13.885071818357508
6,96,61,13.864488176932264
6,96,66,13.845870297661289
6,96,71,13.828897727673537
6,96,76,13.813320700340013
6,96,81,13.798941011836297
6,96,86,13.785598909892295
6,96,91,13.773163871116125
6,96,96,13.761527966943186
11,1,1,2.258607737540795
11,1,6,1.2263650063808542
11,1,11,0.9818597235938047
11,1,16,0.8506832921843499
11,1,21,0.7635864193973813
11,1,26,0.6994347006743219
11,1,31,0.6491698251066944
11,1,36,0.6081328075048009
11,1,41,0.5736324964538022
11,1,46,0.5439833312878156
11,1,51,0.5180644221421749
11,1,56,0.4950951457391566
11,1,61,0.47451150431391265
11,1,66,0.4558936250429384
11,1,71,0.4389210550551854
11,1,76,0.42334402772166196
11,1,81,0.40896433921794545
11,1,86,0.39562223727394347
11,1,91,0.3831871984977753
11,1,96,0.3715512943248346
11,6,1,7.63388614522496
11,6,6,6.601643414065019
11,6,11,6.35713813127797
11,6,16,6.225961699868515
11,6,21,6.138864827081546
11,6,26,6.074713108358487
11,6,31,6.02444823279086
11,6,36,5.983411215188966
11,6,41,5.948910904137967
11,6,46,5.91926173897198
11,6,51,5.89334282982634
11,6,56,5.870373553423321
11,6,61,5.849789911998077
11,6,66,5.831172032727103
11,6,71,5.81419946273935
11,6,76,5.798622435405827
11,6,81,5.784242746902111
11,6,86,5.770900644958108
11,6,91,5.75846560618194
11,6,96,5.746829702008999
11,11,1,9.452293555935906
11,11,6,8.420050824775966
11,11,11,8.175545541988916
11,11,16,8.044369110579462
11,11,21,7.957272237792493
11,11,26,7.893120519069433
11,11,31,7.842855643501807
11,11,36,7.801818625899912
11,11,41,7.7673183148489136
11,11,46,7.737669149682927
11,11,51,7.711750240537286
11,11,56,7.688780964134268
11,11,61,7.668197322709024
11,11,66,7.64957944343805
11,11,71,7.632606873450297
11,11,76,7.617029846116774
11,11,81,7.602650157613057
11,11,86,7.589308055669055
11,11,91,7.576873016892887
11,11,96,7.565237112719946
11,16,1,10.576373904260139
11,16,6,9.544131173100197
11,16,11,9.299625890313148
11,16,16,9.168449458903694
11,16,21,9.081352586116726
11,16,26,9.017200867393665
11,16,31,8.966935991826038
11,16,36,8.925898974224145
11,16,41,8.891398663173145
11,16,46,8.861749498007159
11,16,51,8.83583058886152
11,16,56,8.8128613124585
11,16,61,8.792277671033256
11,16,66,8.773659791762283
11,16,71,8.756687221774529
11,16,76,8.741110194441006
11,16,81,8.726730505937288
11,16,86,8.713388403993287
11,16,91,8.700953365217119
11,16,96,8.689317461044178
11,21,1,11.392175050711064
11,21,6,10.359932319551124
11,21,11,10.115427036764073
11,21,16,9.98425060535462
11,21,21,9.89715373256765
11,21,26,9.833002013844592
11,21,31,9.782737138276964
11,21,36,9.74170012067507
11,21,41,9.707199809624072
11,21,46,9.677550644458085
11,21,51,9.651631735312444
11,21,56,9.628662458909426
11,21,61,9.60807881748418
11,21,66,9.589460938213207
11,21,71,9.572488368225454
11,21,76,9.556911340891931
11,21,81,9.542531652388215
11,21,86,9.529189550444212
11,21,91,9.516754511668044
11,21,96,9.505118607495104
11,26,1,12.032897351605241
11,26,6,11.0006546204453
11,26,11,10.75614933765825
11,26,16,10.624972906248797
11,26,21,10.537876033461828
11,26,26,10.473724314738767
11,26,31,10.42345943917114
11,26,36,10.382422421569247
11,26,41,10.347922110518248
11,26,46,10.31827294535226
11,26,51,10.292354036206621
11,26,56,10.269384759803602
11,26,61,10.248801118378358
11,26,66,10.230183239107385
11,26,71,10.213210669119631
11,26,76,10.197633641786108
11,26,81,10.183253953282392
11,26,86,10.169911851338389
11,26,91,10.157476812562221
11,26,96,10.14584090838928
11,31,1,12.560569350996234
11,31,6,11.528326619836292
11,31,11,11.283821337049243
11,31,16,11.15264490563979
11,31,21,11.06554803285282
11,31,26,11.00139631412976
11,31,31,10.951131438562133
11,31,36,10.91009442096024
11,31,41,10.87559410990924
11,31,46,10.845944944743254
11,31,51,10.820026035597614
11,31,56,10.797056759194595
11,31,61,10.776473117769351
11,31,66,10.757855238498378
11,31,71,10.740882668510624
11,31,76,10.725305641177101
11,31,81,10.710925952673385
11,31,86,10.697583850729382
11,31,91,10.685148811953214
11,31,96,10.673512907780273
11,36,1,13.009164552909125
11,36,6,11.976921821749185
11,36,11,11.732416538962134
11,36,16,11.60124010755268
11,36,21,11.514143234765712
11,36,26,11.449991516042651
11,36,31,11.399726640475025
11,36,36,11.35868962287313
11,36,41,11.324189311822131
11,36,46,11.294540146656145
11,36,51,11.268621237510505
11,36,56,11.245651961107486
11,36,61,11.225068319682242
11,36,66,11.206450440411269
11,36,71,11.189477870423515
11,36,76,11.173900843089992
11,36,81,11.159521154586276
11,36,86,11.146179052642273
11,36,91,11.133744013866105
11,36,96,11.122108109693164
11,41,1,13.399323937653719
11,41,6,12.367081206493777
11,41,11,12.122575923706728
11,41,16,11.991399492297273
11,41,21,11.904302619510306
11,41,26,11.840150900787245
11,41,31,11.789886025219618
11,41,36,11.748849007617725
11,41,41,11.714348696566725
11,41,46,11.684699531400739
11,41,51,11.6587806222551
11,41,56,11.63581134585208
11,41,61,11.615227704426836
11,41,66,11.596609825155863
11,41,71,11.579637255168109
11,41,76,11.564060227834586
11,41,81,11.549680539330868
11,41,86,11.536338437386867
11,41,91,11.523903398610699
11,41,96,11.512267494437758
11,46,1,13.74453192700808
11,46,6,12.71228919584814
11,46,11,12.467783913061089
11,46,16,12.336607481651635
11,46,21,12.249510608864666
11,46,26,12.185358890141607
11,46,31,12.13509401457398
11,46,36,12.094056996972085
11,46,41,12.059556685921088
11,46,46,12.029907520755101
11,46,51,12.00398861160946
11,46,56,11.981019335206442
11,46,61,11.960435693781198
